lda1,lda2,region_name,geography_name,geography_code,region_code
-2.0681220207308257,0.5792759297264016,South West,Wiltshire,E06000054,E12000009
-1.740521564785154,2.7216743755275474,South West,East Devon,E07000040,E12000009
-2.0160327154135653,1.6956875961674809,South West,Exeter,E07000041,E12000009
-2.6069500989059855,1.9173513734802863,South West,Mid Devon,E07000042,E12000009
-5.043389925080992,-0.5054173972362638,South West,North Devon,E07000043,E12000009
-1.2894908102342955,-1.2935228027263206,South West,South Hams,E07000044,E12000009
-0.4986415877172201,0.15474388567744685,South West,Teignbridge,E07000045,E12000009
-2.827670094725013,-0.28833736654726466,South West,Torridge,E07000046,E12000009
-2.7797848619808874,-2.5003910859314518,South West,West Devon,E07000047,E12000009
-3.8592937295686554,1.5122077943639374,South West,Christchurch,E07000048,E12000009
-2.544527900381028,2.5226516501633345,South West,East Dorset,E07000049,E12000009
